# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Oct 29 14:40:52 2017
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
#
rowid,kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_duration,koi_depth,koi_prad,koi_srad
19,7255336,K00019.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,1.203200920,1.91970,2807.1,49.25,1.3490
20,11804465,K00020.01,CONFIRMED,CANDIDATE,0.7610,0,0,0,0,4.437962934,4.69813,16387.6,18.05,1.4150
21,10125352,K00021.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,4.288515468,2.29590,3456.7,76.51,2.0020
22,9631995,K00022.01,CONFIRMED,CANDIDATE,0.9880,0,0,0,0,7.891448838,4.28540,10344.6,12.63,1.2370
23,9071386,K00023.01,FALSE POSITIVE,FALSE POSITIVE,0.2690,0,1,0,0,4.693305543,5.17249,14522.9,17.85,1.4700
24,4743513,K00024.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,2.086075752,2.26470,3657.8,10.30,1.4170
25,10593759,K00025.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,3.132604547,3.63370,9969.2,48.73,1.1810
26,5021737,K00026.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,15.039463260,5.10080,5237.7,12.36,1.4410
27,3832716,K00027.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,0,1.141877248,4.33931,309490.0,88.62,1.3680
28,4247791,K00028.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,4.100870416,8.15361,123521.0,82.46,1.5100
29,6956014,K00031.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,0.925589891,1.96700,400.8,50.60,24.4880
30,5725087,K00033.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,0.366197145,1.23350,275.3,51.34,31.5000
31,6521045,K00041.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,12.815904210,6.38560,220.5,2.26,1.4740
32,6521045,K00041.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,6.887070730,4.46790,68.7,1.30,1.4740
33,6521045,K00041.03,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,35.333193200,5.96600,99.7,1.55,1.4740
34,8866102,K00042.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,17.833678340,4.51120,326.9,2.43,1.3370
35,9025922,K00043.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,11.320295990,4.58660,4303.5,8.02,1.0000
36,8845026,K00044.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,66.467462170,19.66380,12643.7,11.97,1.0730
37,3742855,K00045.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,6.397185875,5.86380,18887.0,15.02,1.0000
38,10905239,K00046.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.487688776,3.83661,1298.8,5.64,1.5930
39,10905239,K00046.02,CONFIRMED,CANDIDATE,0.9170,0,0,0,0,6.029772410,3.96100,54.6,1.18,1.5930
40,7837302,K00048.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,23.836808884,6.02854,29684.7,59.31,1.9400
41,9527334,K00049.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,8.313773040,2.96400,837.4,2.74,0.9510
42,6056992,K00051.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,10.431146765,3.88530,29375.6,50.44,1.0000
43,3558981,K00052.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,2.987862720,2.58140,42789.0,17.82,0.8210
44,2445975,K00053.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,3.388887193,2.44750,11267.8,10.72,1.0000
45,8248939,K00061.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0,1.633454020,3.81700,359.0,24.87,1.0910
46,11554435,K00063.01,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,9.434141710,2.81120,3977.0,5.73,0.8860
47,7051180,K00064.01,CANDIDATE,CANDIDATE,1.0000,0,1,0,0,1.951082219,1.69750,1151.8,10.35,2.4260
48,10620329,K00066.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,0,0.436282594,1.39880,536.4,83.25,2.6220
49,8669092,K00068.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,0,1.000840564,1.32920,2714.4,80.25,3.1770
50,3544595,K00069.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.726740370,2.92670,273.1,1.56,0.8940
51,6850504,K00070.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,10.854095934,3.77680,1034.4,2.99,0.9250
52,6850504,K00070.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.696121272,2.46300,383.4,1.78,0.9250
53,6850504,K00070.03,CONFIRMED,CANDIDATE,0.5630,0,0,0,0,77.611442700,7.17860,814.5,2.59,0.9250
54,6850504,K00070.04,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,6.098556030,2.98150,84.4,0.84,0.9250
55,6850504,K00070.05,CONFIRMED,CANDIDATE,0.9630,0,0,0,0,19.577607300,3.38200,98.1,0.90,0.9250
56,11904151,K00072.01,CONFIRMED,FALSE POSITIVE,0.0000,1,0,0,0,0.837491225,1.79600,190.4,1.43,1.0440
57,11904151,K00072.02,CONFIRMED,CANDIDATE,0.9820,0,0,0,0,45.294222970,6.83000,477.1,2.26,1.0440
58,6889235,K00074.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,0,5.188671659,5.05340,548.9,5.20,1.9410
59,7199397,K00075.01,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,105.881766700,18.04400,1556.3,10.16,2.4990
60,9955262,K00076.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,77.479470400,10.11510,1237.0,10.33,2.9090
61,9552608,K00080.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,9.250572762,3.63730,1039.5,96.08,3.2940
62,8823868,K00081.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,0,23.876114400,9.31130,1611.7,10.45,2.5330
63,10187017,K00082.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,16.145671932,3.72360,941.1,2.48,0.7410
64,10187017,K00082.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,10.311747860,3.18180,275.9,1.34,0.7410
65,10187017,K00082.03,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,27.453614600,3.74700,136.4,0.95,0.7410
66,10187017,K00082.04,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,7.071361190,2.75700,65.7,0.63,0.7410
67,10187017,K00082.05,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,5.286919960,2.57900,41.5,0.51,0.7410
68,10187017,K00082.06,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,22.409867700,2.27100,69.8,0.73,0.7410
69,2571238,K00084.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,9.286964466,3.36490,691.7,2.10,0.8100
70,5866724,K00085.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,5.859935955,4.01850,322.8,2.56,1.4240
71,5866724,K00085.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,2.154911236,3.13410,99.7,1.42,1.4240
72,5866724,K00085.03,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,8.131213890,4.23860,111.8,1.58,1.4240
73,10593626,K00087.01,CONFIRMED,CANDIDATE,0.8810,0,0,0,0,289.864067000,7.56500,529.1,2.34,0.8860
74,7700871,K00088.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0,5.179688680,3.72560,121.8,18.91,0.8150
75,8056665,K00089.01,CONFIRMED,CANDIDATE,0.8810,0,0,0,0,84.687752400,10.02480,347.7,3.37,1.7900
76,8056665,K00089.02,CANDIDATE,CANDIDATE,0.9970,0,0,0,0,207.582930600,7.06860,505.1,4.52,1.7900
77,9210823,K00090.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,0.828206212,1.73700,132.3,3.88,3.2270
78,7941200,K00092.01,CANDIDATE,CANDIDATE,0.9720,0,0,0,0,65.704527500,3.31040,636.1,2.78,1.0430
79,6462863,K00094.01,CONFIRMED,CANDIDATE,0.9940,0,0,0,0,22.342964828,6.66405,5612.8,9.99,1.3310
80,6462863,K00094.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,10.423677439,5.22570,777.3,3.72,1.3310
81,6462863,K00094.03,CONFIRMED,CANDIDATE,0.9530,0,0,0,0,54.319961510,8.58580,1975.0,6.07,1.3310
82,6462863,K00094.04,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,3.743166733,3.68880,126.3,1.50,1.3310
83,5780885,K00097.01,CONFIRMED,CANDIDATE,0.9990,0,1,0,0,4.885488596,5.16165,7458.4,16.66,1.9090
84,10264660,K00098.01,CONFIRMED,CANDIDATE,0.9940,0,0,0,0,6.790120801,6.04370,2302.3,9.86,2.0010
85,4055765,K00100.01,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,9.966400400,5.01270,1619.0,16.89,3.0790
86,8456679,K00102.01,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,1.735136190,2.27410,952.6,3.27,1.0710
87,8456679,K00102.02,FALSE POSITIVE,FALSE POSITIVE,0.4910,0,0,1,0,4.068449570,2.83490,79.8,0.98,1.0710
88,2444412,K00103.01,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,14.910951770,3.32500,864.5,2.62,0.8990
89,10318874,K00104.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,2.508057497,1.11340,1507.6,3.25,0.7610
90,8711794,K00105.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,8.981014925,1.84780,1059.3,3.14,0.9670
91,10489525,K00106.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,1.612249049,4.23500,154.0,50.98,2.5690
92,11250587,K00107.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,7.256962446,4.94020,463.2,3.53,1.5490
93,4914423,K00108.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,15.965327180,4.58370,482.2,3.33,1.4330
94,4914423,K00108.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,179.609803000,13.75500,1273.0,5.47,1.4330
95,4752451,K00109.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,6.414964530,3.90150,201.2,25.79,1.1830
96,9450647,K00110.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,9.940666412,3.90920,520.2,2.87,1.2590
97,6678383,K00111.01,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,11.427550984,4.60740,500.9,2.35,1.0050
98,6678383,K00111.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,23.668346350,5.82970,449.4,2.32,1.0050
99,6678383,K00111.03,CONFIRMED,CANDIDATE,0.9780,0,0,0,0,51.755305040,7.43550,609.2,2.61,1.0050
100,10984090,K00112.01,CONFIRMED,CANDIDATE,0.9900,0,0,0,0,51.079264510,6.37290,736.8,2.75,1.0220
101,10984090,K00112.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.709214104,2.63020,131.1,1.16,1.0220
102,6721123,K00114.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,7.361789580,5.02200,233.7,39.21,1.9580
103,9579641,K00115.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,5.412203927,2.94720,601.6,2.94,1.0870
104,9579641,K00115.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,7.125943870,3.00140,192.4,1.79,1.0870
105,9579641,K00115.03,CANDIDATE,CANDIDATE,0.8710,0,0,0,0,3.435916310,3.13300,23.2,0.55,1.0870
106,8395660,K00116.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,13.570782810,3.35390,511.7,2.64,1.0120
107,8395660,K00116.02,CONFIRMED,CANDIDATE,0.9980,0,0,0,0,43.844397210,6.80200,615.2,2.87,1.0120
108,8395660,K00116.03,CONFIRMED,CANDIDATE,0.9500,0,0,0,0,6.164876000,3.26200,55.8,0.79,1.0120
109,8395660,K00116.04,CONFIRMED,CANDIDATE,0.9520,0,0,0,0,23.980085400,5.35100,104.0,1.31,1.0120
110,10875245,K00117.01,CONFIRMED,CANDIDATE,0.9920,0,0,0,0,14.749148250,6.09950,430.2,2.89,1.4020
111,10875245,K00117.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.901449760,4.16540,140.7,1.70,1.4020
112,10875245,K00117.03,CONFIRMED,CANDIDATE,0.9950,0,0,0,0,3.180027898,3.57970,120.3,1.53,1.4020
113,10875245,K00117.04,CONFIRMED,CANDIDATE,0.9980,0,0,0,0,7.958253280,4.37700,50.0,1.06,1.4020
114,3531558,K00118.01,CONFIRMED,CANDIDATE,0.9120,0,0,0,0,24.993243190,5.94090,269.6,2.29,1.3170
115,9471974,K00119.01,CONFIRMED,CANDIDATE,0.9590,0,0,0,0,49.183941850,11.33640,1646.2,8.20,2.0570
116,9471974,K00119.02,CONFIRMED,CANDIDATE,0.9870,0,0,0,0,190.320046800,15.28400,1141.7,7.78,2.0570
117,11869052,K00120.01,CANDIDATE,CANDIDATE,0.5730,0,0,0,0,20.545237500,2.51700,218.5,2.41,1.2640
118,3247396,K00121.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,8.811102200,5.06830,401.1,63.66,2.4040
119,8349582,K00122.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,11.523067458,3.87570,507.3,3.13,1.4110
120,5094751,K00123.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,6.481633073,3.78400,298.5,2.54,1.3020
121,5094751,K00123.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,21.222611950,6.50930,366.0,2.48,1.3020
122,11086270,K00124.01,CONFIRMED,FALSE POSITIVE,0.4150,0,1,0,0,12.691043870,3.77270,252.1,2.57,1.6260
123,11086270,K00124.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,31.719810130,4.81900,363.4,3.09,1.6260
124,11449844,K00125.01,CONFIRMED,CANDIDATE,0.9200,0,0,0,0,38.478766290,5.04169,23530.0,13.26,0.8790
125,5897826,K00126.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,0,33.803643660,11.48130,13494.4,20.70,1.7960
126,5897826,K00126.02,CANDIDATE,CANDIDATE,0.9970,0,0,0,0,0.875197345,0.05200,0.0,0.73,1.7960
127,8359498,K00127.01,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,3.578780566,2.91089,11382.2,10.43,0.9940
128,11359879,K00128.01,CONFIRMED,CANDIDATE,0.9960,0,0,0,0,4.942783419,3.25346,11144.7,10.62,0.9780
129,11974540,K00129.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,24.669192732,7.03515,7382.3,77.76,9.3270
130,5297298,K00130.01,CANDIDATE,CANDIDATE,0.9130,0,0,0,0,34.193600311,5.41382,13714.8,21.95,1.7860
131,7778437,K00131.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,5.014234733,4.58900,6536.0,10.63,1.3070
132,8892910,K00132.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,10.810132734,4.46180,6165.2,13.95,1.2840
133,11673674,K00133.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,4.618767792,5.99570,4399.1,7.48,1.0330
134,9032900,K00134.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,0,67.592375400,12.24900,4158.1,12.10,1.7440
135,9818381,K00135.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.024092505,2.80210,7765.0,12.14,1.3580
136,7601633,K00136.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,15.663886949,2.47750,5144.4,27.36,2.2210
137,8644288,K00137.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,7.641567589,3.41018,2269.7,4.91,1.0550
138,8644288,K00137.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,14.858908520,3.52520,3269.0,5.94,1.0550
139,8644288,K00137.03,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.504691252,1.98110,315.1,2.03,1.0550
140,8506766,K00138.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,48.937868960,6.58680,7240.1,24.19,1.7610
141,8559644,K00139.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,224.778935500,11.18990,3487.5,7.67,1.2350
142,8559644,K00139.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.341799486,2.92540,178.2,1.67,1.2350
143,5130369,K00140.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,19.978670000,10.16800,944.3,6.85,1.8950
144,12105051,K00141.01,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,2.624234833,1.38740,2607.0,5.11,0.8990
145,4649305,K00143.01,CANDIDATE,CANDIDATE,0.9830,0,0,0,0,22.651174510,3.68950,2250.0,7.62,1.3330
146,4180280,K00144.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.176254191,3.67160,1360.1,3.07,0.7760
147,9904059,K00145.01,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,102.964195200,15.73500,1896.7,39.00,7.1190
148,9048161,K00146.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,8.667822346,4.96580,2121.9,67.37,1.8890
149,1996679,K00147.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,145.562492600,5.41260,2931.6,40.15,1.0950
150,5735762,K00148.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.778003060,2.73610,473.0,1.85,0.8730
151,5735762,K00148.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,9.673958488,3.26410,952.7,2.63,0.8730
152,5735762,K00148.03,CONFIRMED,CANDIDATE,0.9980,0,0,0,0,42.896450240,5.68970,555.3,2.00,0.8730
153,3835670,K00149.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,14.557308970,7.76430,956.9,4.32,1.4120
154,7626506,K00150.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,8.408878137,3.49670,798.9,2.28,0.8120
155,7626506,K00150.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,28.574269200,4.94270,824.9,2.32,0.8120
156,2307199,K00151.01,CANDIDATE,CANDIDATE,0.7520,0,0,0,0,13.447179100,3.04540,1428.2,5.24,1.0410
157,8394721,K00152.01,CONFIRMED,CANDIDATE,0.9940,0,0,0,0,52.090816270,8.63880,2894.1,7.14,1.3240
158,8394721,K00152.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,27.402298590,6.84910,747.5,3.63,1.3240
159,8394721,K00152.03,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,13.484576680,5.01970,653.5,3.39,1.3240
160,8394721,K00152.04,CONFIRMED,CANDIDATE,0.9760,0,0,0,0,81.063789500,3.00100,476.0,3.01,1.3240
161,12252424,K00153.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,8.925079516,2.67660,977.5,2.36,0.6930
162,12252424,K00153.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.754000720,2.53940,748.7,2.00,0.6930
163,8030148,K00155.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,5.660669429,4.64830,737.8,3.24,1.1730
164,10925104,K00156.01,CONFIRMED,CANDIDATE,0.6800,0,0,0,0,8.041347775,2.63320,591.0,1.29,0.5400
165,10925104,K00156.02,CONFIRMED,CANDIDATE,0.9920,0,0,0,0,5.188563677,2.36830,358.7,1.00,0.5400
166,10925104,K00156.03,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,11.776132317,2.89710,1430.8,2.08,0.5400
167,6541920,K00157.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,13.024933070,4.57060,778.4,2.88,1.0460
168,6541920,K00157.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,22.687155000,5.49210,960.0,3.20,1.0460
169,6541920,K00157.03,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,31.995524850,4.28170,1376.1,4.12,1.0460
170,6541920,K00157.04,CONFIRMED,CANDIDATE,0.9980,0,0,0,0,46.685620500,6.37940,588.8,2.52,1.0460
171,6541920,K00157.05,CONFIRMED,CANDIDATE,0.9970,0,0,0,0,118.378673500,9.55740,1083.3,3.40,1.0460
172,6541920,K00157.06,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,10.304011320,4.22460,316.1,1.84,1.0460
173,10555375,K00158.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,5.801813680,4.11900,269.6,4.52,2.0970
174,8972058,K00159.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,8.990886210,4.24470,469.7,2.78,1.1710
175,8972058,K00159.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,2.403640701,1.40120,74.9,1.24,1.1710
176,6631721,K00160.01,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,13.738082490,3.35400,660.7,3.84,1.1780
177,5084942,K00161.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.105507835,1.74580,904.6,2.68,0.7910
178,8107380,K00162.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,14.006403920,4.69190,716.4,3.11,1.1240
179,6851425,K00163.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,11.119902800,3.37590,636.3,2.08,0.7660
180,5652237,K00164.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,4.464545400,2.88230,194.3,3.07,1.9850
181,9527915,K00165.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,13.221753580,2.78840,876.5,2.38,0.7990
182,2441495,K00166.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,12.493407250,2.26140,715.7,2.20,0.7950
183,11666881,K00167.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.919584997,4.19880,425.7,2.86,1.3780
184,11512246,K00168.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,10.742417650,6.06330,415.2,3.06,1.5180
185,11512246,K00168.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,15.274438890,6.07650,206.7,2.17,1.5180
186,11512246,K00168.03,CONFIRMED,CANDIDATE,0.9960,0,0,0,0,7.106957410,5.14620,131.0,1.72,1.5180
187,6185711,K00169.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,11.702196380,2.66580,639.7,16.15,0.7620
188,11044770,K00170.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,15.608652440,6.26000,311.4,6.17,2.4300
189,7831264,K00171.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,5.968724048,3.65100,510.6,3.26,1.4390
190,7831264,K00171.02,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,13.071418890,3.09460,251.1,2.47,1.4390
191,8692861,K00172.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,13.722368200,5.12310,571.1,2.23,0.9430
192,8692861,K00172.02,CONFIRMED,CANDIDATE,0.6930,0,0,0,0,242.467406000,12.80800,340.3,1.73,0.9430
